gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,DescreteCap,fuel2,HeatRate2,MaxTotalBuild,CapacityCredit,UnitSize
Wind_Com_Kos,Kosovo,OnshoreWind,Wind,2025,2060,0,2,,,,,,,38000,,0,1.7,30,5000,0,,,,0.25,
Wind_New_Kos,Kosovo,OnshoreWind,Wind,2027,2060,0,3,,,,,,,38000,,0,1.7,30,0,0,,,,0.25,
PV_Ex_Kos,Kosovo,PV,Solar,2020,2044,5,1,,,,,,,10000,,0,0,,,0,,,,0.1,
PV_Com_Kos,Kosovo,PV,Solar,2025,2060,0,2,,,,,,,10000,,0,0.9,25,5000,0,,,,0.1,
PV_New_Kos,Kosovo,PV,Solar,2026,2060,0,3,,,,,,,10000,,0,0.9,25,0,0,,,,0.1,
TPP_Pljevlja,Montenegro,ST,Coal,1982,2051,225,1,0.22,11,0.6,0.6,0,0.05,34800,6,0,0,,,0,,,,1,
Coal_SubNew_ME,Montenegro,ST,Coal,2026,2051,0,3,0.22,8.749113059,1,1,0,0.05,45000,3,0,1.7,40,0,0,,,,1,
Coal_SuperNew_ME,Montenegro,ST,Coal,2026,2051,0,3,0.22,7.935242076,1,1,0,0.05,60000,3,0,2,40,0,0,,,,1,
Coal_UltraNew_ME,Montenegro,ST,Coal,2028,2061,0,3,0.22,7.582564651,1,1,0,0.05,65000,3,0,2.2,40,0,0,,,,1,
CoalCCS_New_ME,Montenegro,ST,Coal,2045,2080,0,3,0.22,9.478205814,1,1,0,0.05,100000,43.8,0,5.08,40,0,0,,,,1,
Biomass_New_ME,Montenegro,BiomassPlant,Biomass,2028,2060,0,3,0.22,9.749011694,1,1,0,0.05,77500,3.5,0,2.4,40,0,0,,,,1,
BECCS_New_ME,Montenegro,BiomassPlant,Biomass,2045,2080,0,3,0.22,11.37384698,1,1,0,0.05,135000,30,0,5.4,40,0,0,,,,1,
CCGT_New_ME,Montenegro,CCGT,Gas,2030,2060,0,3,0.22,5.783312022,1,1,0,0.1,25000,3.5,0,1,40,0,0,,,,1,
OCGT_New_ME,Montenegro,OCGT,Gas,2028,2060,0,3,,8.530385232,1,1,0,0.2,20000,3.5,0,0.5,40,10000,0,,,,1,
CCGTCCS_New_ME,Montenegro,CCGT,Gas,2045,2080,0,3,0.22,6.7,1,1,0,0.1,80000,21.8,0,3.08,40,0,0,,,,1,
CCGTH2_New_ME,Montenegro,CCGT,Gas,2030,2060,0,3,0.22,5.783312022,1,1,0,0.1,47500,3.5,0,1,40,0,0,,,,1,
RoR_Ex_ME,Montenegro,ROR,Water,1960,2051,0,1,,,1,1,0,0,15000,,0,0,,,0,,,,0.7,
RoR_Com_ME,Montenegro,ROR,Water,2025,2051,0,2,,,1,1,0,0,60000,,0,2.65,30,0,0,,,,0.7,
RoR_New_ME,Montenegro,ROR,Water,2029,2051,0,3,,,1,1,0,0,60000,,0,2.65,30,0,0,,,,0.7,
HySto_Ex_ME,Montenegro,ReservoirHydro,Water,1955,2051,690,1,,,1,1,0,0.3,15000,,0,0,,,0,,,,0.9,
HySto_Com_ME,Montenegro,ReservoirHydro,Water,2025,2051,0,2,,,1,1,0,0.3,60000,,0,2.65,30,0,0,,,,0.9,
HySto_New_ME,Montenegro,ReservoirHydro,Water,2029,2051,0,3,,,1,1,0,0.3,60000,,0,2.65,30,0,0,,,,0.9,
Wind_Ex_ME,Montenegro,OnshoreWind,Wind,2018,2044,118,1,,,,,,,28180,,0,0,,,0,,,,0.25,
Wind_Com_ME,Montenegro,OnshoreWind,Wind,2025,2060,0,2,,,,,,,38000,,0,1.26,30,5000,0,,,,0.25,
Wind_New_ME,Montenegro,OnshoreWind,Wind,2027,2060,0,3,,,,,,,38000,,0,1.26,30,0,0,,,,0.25,
PV_Ex_ME,Montenegro,PV,Solar,2020,2044,,1,,,,,,,10000,,0,0,,,0,,,,0.1,
PV_Com_ME,Montenegro,PV,Solar,2030,2060,,2,,,,,,,10000,,0,0.9,25,5000,0,,,,0.1,
PV_New_ME,Montenegro,PV,Solar,2026,2060,,3,,,,,,,10000,,0,0.9,25,0,0,,,,0.1,
TPP_Bitola,N_Macedonia,ST,Coal,1982,2041,,1,0.22,10.7,1,0.6,0,0.05,34800,6,0,0,,,0,,,,1,
TPP_Oslomej,N_Macedonia,ST,Coal,1980,2028,,1,0.22,10.7,0.6,0.6,0,0.05,34800,6,0,0,,,0,,,,1,
TPP_Negotino,N_Macedonia,ST,Diesel,2020,2051,,1,0.22,12.6,0.6,0.6,0,0.05,34800,6,0,0,,,0,,,,1,
Coal_SubNew_NM,N_Macedonia,ST,Coal,2026,2051,,3,0.22,8.749113059,1,1,0,0.05,45000,3,0,1.7,40,0,0,,,,1,
Coal_SuperNew_NM,N_Macedonia,ST,Coal,2026,2051,,3,0.22,7.935242076,1,1,0,0.05,60000,3,0,2,40,0,0,,,,1,
Coal_UltraNew_NM,N_Macedonia,ST,Coal,2028,2061,,3,0.22,7.582564651,1,1,0,0.05,65000,3,0,2.2,40,0,0,,,,1,
CoalCCS_New_NM,N_Macedonia,ST,Coal,2045,2080,,3,0.22,9.478205814,1,1,0,0.05,100000,43.8,0,5.08,40,0,0,,,,1,
Biomass_Exist_NM,N_Macedonia,BIOGAS,Biomass,2020,2060,,1,0.22,9.749011694,1,1,0,0.05,77500,3.5,0,0,40,10000,0,,,,1,
Biomass_New_NM,N_Macedonia,BiomassPlant,Biomass,2028,2060,,3,0.22,9.749011694,1,1,0,0.05,77500,3.5,0,2.4,40,0,0,,,,1,
BECCS_New_NM,N_Macedonia,BiomassPlant,Biomass,2045,2080,,3,0.22,11.37384698,1,1,0,0.05,135000,30,0,5.4,40,0,0,,,,1,
TE_TO_CCPP_Skopje,N_Macedonia,CCGT,Gas,2020,2060,,1,0.22,8.5,1,1,0,0.05,135000,3.5,0,0,40,10000,0,,,,1,
TE_TO_CCPP_ESM,N_Macedonia,CCGT,Gas,2020,2060,,1,0.22,8.5,1,1,0,0.05,135000,3.5,0,0,40,10000,0,,,,1,
CCGT_New_NM,N_Macedonia,CCGT,Gas,2030,2060,,3,0.22,5.783312022,1,1,0,0.1,25000,3.5,0,1,40,0,0,,,,1,
OCGT_New_NM,N_Macedonia,OCGT,Gas,2028,2060,,3,,8.530385232,1,1,0,0.2,20000,3.5,0,0.5,40,10000,0,,,,1,
CCGTCCS_New_NM,N_Macedonia,CCGT,Gas,2045,2080,,3,0.22,6.7,1,1,0,0.1,80000,21.8,0,3.08,40,0,0,,,,1,
CCGTH2_New_NM,N_Macedonia,CCGT,Gas,2030,2060,,3,0.22,5.783312022,1,1,0,0.1,47500,3.5,0,1,40,0,0,,,,1,
RoR_Ex_NM,N_Macedonia,ROR,Water,1960,2051,,1,,,1,1,0,0,15000,,0,0,,120,0,,,,0.7,
RoR_Com_NM,N_Macedonia,ROR,Water,2030,2051,,2,,,1,1,0,0,60000,,0,2.65,30,0,0,,,,0.7,
RoR_New_NM,N_Macedonia,ROR,Water,2029,2051,,3,,,1,1,0,0,60000,,0,2.65,30,0,0,,,,0.7,
HySto_Ex_NM,N_Macedonia,ReservoirHydro,Water,1955,2051,,1,,,1,1,0,0.3,15000,,0,0,,1465,0,,,,0.9,
HySto_Com_NM,N_Macedonia,ReservoirHydro,Water,2035,2051,,2,,,1,1,0,0.3,60000,,0,2.65,30,0,0,,,,0.9,
HySto_New_NM,N_Macedonia,ReservoirHydro,Water,2029,2051,,3,,,1,1,0,0.3,60000,,0,2.65,30,0,0,,,,0.9,
Wind_Ex_NM,N_Macedonia,OnshoreWind,Wind,2018,2044,,1,,,,,,,28180,,0,0,,135,0,,,,0.25,
Wind_Com_NM,N_Macedonia,OnshoreWind,Wind,2025,2060,,2,,,,,,,38000,,0,1.26,30,5000,0,,,,0.25,
Wind_New_NM,N_Macedonia,OnshoreWind,Wind,2027,2060,,3,,,,,,,38000,,0,1.26,30,0,0,,,,0.25,
PV_Ex_NM,N_Macedonia,PV,Solar,2020,2044,,1,,,,,,,10000,,0,0,,,0,,,,0.1,
PV_Com_NM,N_Macedonia,PV,Solar,2025,2060,,2,,,,,,,10000,,0,0.9,25,0,0,,,,0.1,
PV_New_NM,N_Macedonia,PV,Solar,2026,2060,,3,,,,,,,10000,,0,0.9,25,0,0,,,,0.1,
PHP__Cebren,N_Macedonia,Storage,Water,2030,2060,,2,,,1,1,0,1,35872,,0,1.23,40,1000,0,,,,0.8,
DummyGenImports,Serbia,INT,Import,2050,2061,,3,,,,,,,9999999,999,,999.9,5,0.1,0,,,,,
CHP_Kos,Serbia,CHP,Coal,2030,2051,,2,,8,0.7,0.7,,,34800,4,,2,40,350,0,,,,0.9,
BESS2027_Mon,Montenegro,Storage,Battery,2030,2050,,2,,,1,1,0,1,14000,,0,0.57,20,5000,0,,,,0.7,
Bistrica,Serbia,Storage,Water,2032,2060,,3,,,1,1,0,1,35872,,0,1.23,40,0,0,,,,0.8,
BESS2028_Ser,Serbia,Storage,Battery,2028,2050,,2,,,1,1,0,1,14000,,0,0.57,20,200,0,,,,0.7,
Wind_NewH_AL,Albania,OnshoreWind,Wind,2027,2060,,3,,,,,,,38000,,0,1.26,30,0,0,,,,0.25,
Wind_NewL_AL,Albania,OnshoreWind,Wind,2027,2060,,3,,,,,,,38000,,0,1.26,30,0,0,,,,0.25,
Wind_NewH_BiH,BiH,OnshoreWind,Wind,2027,2060,,3,,,,,,,38000,,0,1.26,30,0,0,,,,0.25,
Wind_NewL_BiH,BiH,OnshoreWind,Wind,2027,2060,,3,,,,,,,38000,,0,1.26,30,0,0,,,,0.25,
Wind_NewH_NM,N_Macedonia,OnshoreWind,Wind,2027,2060,,3,,,,,,,38000,,0,1.26,30,0,0,,,,0.25,
Wind_NewL_NM,N_Macedonia,OnshoreWind,Wind,2027,2060,,3,,,,,,,38000,,0,1.26,30,0,0,,,,0.25,
Wind_NewH_ME,Montenegro,OnshoreWind,Wind,2027,2060,,3,,,,,,,38000,,0,1.26,30,0,0,,,,0.25,
Wind_NewL_ME,Montenegro,OnshoreWind,Wind,2027,2060,,3,,,,,,,38000,,0,1.26,30,0,0,,,,0.25,
Wind_NewH_Ser,Serbia,OnshoreWind,Wind,2027,2060,,3,,,,,,,38000,,0,1.26,30,0,0,,,,0.25,
Wind_NewL_Ser,Serbia,OnshoreWind,Wind,2027,2060,,3,,,,,,,38000,,0,1.26,30,0,0,,,,0.25,
Wind_NewH_Kos,Kosovo,OnshoreWind,Wind,2027,2060,,3,,,,,,,38000,,0,1.7,30,0,0,,,,0.25,
Wind_NewL_Kos,Kosovo,OnshoreWind,Wind,2027,2060,,3,,,,,,,38000,,0,1.7,30,0,0,,,,0.25,
PV_NewH_Alb,Albania,PV,Solar,2026,2060,,3,,,,,,,10000,,0,0.9,25,0,0,,,,0.1,
PV_NewL_Alb,Albania,PV,Solar,2026,2060,,3,,,,,,,10000,,0,0.9,25,0,0,,,,0.1,
PV_NewH_RS,Serbia,PV,Solar,2026,2060,,3,,,,,,,10000,,0,0.9,25,0,0,,,,0.1,
PV_NewL_BiH,BiH,PV,Solar,2026,2060,,3,,,,,,,10000,,0,0.9,25,0,0,,,,0.1,
Poptec(G4),Serbia,ReservoirHydro,Water,2028,2051,,3,,,1,1,0,0.3,60000,,0,2.65,30,0,0,,,,0.9,
Poptec_Vlasinke_Revitalization,Serbia,ReservoirHydro,Water,2028,2051,,3,,,1,1,0,0.3,60000,,0,2.65,30,0,0,,,,0.9,
CHP_Nis,Serbia,CHP,Coal,2030,2051,,3,,8,1,0.7,,,34800,4,,2,40,0,0,,,,0.9,
Kostolac Wind Farm,Serbia,OnshoreWind,Wind,2025,2060,,2,,,,,,,38000,,0,1.26,30,66,0,,,,0.25,
Kovacica Wind Farm,Serbia,OnshoreWind,Wind,2025,2060,,2,,,,,,,38000,,0,1.26,30,105,0,,,,0.25,
Cibuk,Serbia,OnshoreWind,Wind,2026,2060,,2,,,,,,,38000,,0,1.26,30,155,0,,,,0.25,
Derdap II_Revitalization,Serbia,ROR,Water,2037,2051,,3,,,1,1,0,0,15000,,0,2.65,30,0,0,,,,0.7,
Upper Drina,Serbia,ROR,Water,2035,2051,,3,,,1,1,0,0,15000,,0,2.65,,0,0,,,,0.7,
Ibar,Serbia,ROR,Water,2035,2051,,3,,,1,1,0,0,15000,,0,2.65,,0,0,,,,0.7,
Morava,Serbia,ROR,Water,2037,2051,,3,,,1,1,0,0,15000,,0,2.65,,0,0,,,,0.7,
Derdap 3,Serbia,Storage,Water,2040,2060,,3,,,1,1,0,1,35872,,0,1.23,40,0,0,,,,0.8,
