gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize,Tech Valid
Burullus-4_CCGT,Egypt,CCGT,Gas,2018.0,2048.0,1200.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.1,0.0,0.0,True
Cairo-North-1_CCGT,Egypt,CCGT,Gas,2006.0,2036.0,750.0,1.0,0.2,6.41,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.06,0.0,0.0,True
Cairo-North-2_CCGT,Egypt,CCGT,Gas,2008.0,2038.0,750.0,1.0,0.2,6.41,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.06,0.0,0.0,True
Cairo-South_CCGT,Egypt,CCGT,Gas,1994.0,2024.0,150.0,1.0,0.2,7.68,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.06,0.0,0.0,True
Daman-Hour_CCGT,Egypt,CCGT,Gas,1995.0,2025.0,130.0,1.0,0.2,8.5,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.06,0.0,0.0,True
Damietta-1_CCGT,Egypt,CCGT,Gas,1992.0,2022.0,582.0,1.0,0.2,7.62,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Damietta-2_CCGT,Egypt,CCGT,Gas,1993.0,2023.0,582.0,1.0,0.2,7.62,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
El-Atf_CCGT,Egypt,CCGT,Gas,2010.0,2040.0,750.0,1.0,0.2,6.3,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Giza-1_CCGT,Egypt,CCGT,Gas,2014.0,2044.0,750.0,1.0,0.2,6.44,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Giza-2_CCGT,Egypt,CCGT,Gas,2015.0,2045.0,750.0,1.0,0.2,6.44,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Giza-3_CCGT,Egypt,CCGT,Gas,2015.0,2045.0,750.0,1.0,0.2,6.44,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Kuriemat-1_CCGT,Egypt,CCGT,Gas,2009.0,2039.0,750.0,1.0,0.2,6.17,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Kuriemat-2_CCGT,Egypt,CCGT,Gas,2011.0,2041.0,750.0,1.0,0.2,6.06,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Mahmoudeya_CCGT,Egypt,CCGT,Gas,1995.0,2025.0,268.0,1.0,0.2,9.34,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.1,0.0,0.0,True
New-Capital-1_CCGT,Egypt,CCGT,Gas,2017.0,2047.0,1200.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.1,0.0,0.0,True
New-Capital-2_CCGT,Egypt,CCGT,Gas,2017.0,2047.0,1200.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.1,0.0,0.0,True
New-Capital-3_CCGT,Egypt,CCGT,Gas,2018.0,2048.0,1200.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
New-Capital-4_CCGT,Egypt,CCGT,Gas,2018.0,2048.0,1200.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
New-Shabab-1_CCGT,Egypt,CCGT,Gas,2011.0,2041.0,500.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.1,0.0,0.0,True
New-Shabab-2_CCGT,Egypt,CCGT,Gas,2017.0,2047.0,500.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.1,0.0,0.0,True
New-Shabab-3_CCGT,Egypt,CCGT,Gas,2019.0,2049.0,500.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Nubaria-1_CCGT,Egypt,CCGT,Gas,2005.0,2035.0,750.0,1.0,0.2,6.37,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Nubaria-2_CCGT,Egypt,CCGT,Gas,2006.0,2036.0,750.0,1.0,0.2,6.37,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Nubaria-3_CCGT,Egypt,CCGT,Gas,2010.0,2040.0,750.0,1.0,0.2,6.37,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Sidi-Kirir_CCGT,Egypt,CCGT,Gas,2010.0,2040.0,750.0,1.0,0.2,6.21,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Talkha_CCGT,Egypt,CCGT,Gas,1989.0,2022.0,236.0,1.0,0.2,10.83,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Talkha-2_CCGT,Egypt,CCGT,Gas,2010.0,2040.0,750.0,1.0,0.2,6.06,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
West-Assiut-1_CCGT,Egypt,CCGT,Gas,2015.0,2045.0,750.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
West-Assiut-2_CCGT,Egypt,CCGT,Gas,2019.0,2049.0,750.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
West-Damietta_CCGT,Egypt,CCGT,Gas,2018.0,2048.0,750.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
West-Damietta-Ext_CCGT,Egypt,CCGT,Gas,2018.0,2048.0,750.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Kuriemat_CSP,Egypt,CSPPlant,Solar,2011.0,2041.0,20.0,1.0,0.0,0.0,0.5,0.5,0.0,0.95,153000.0,3.41,5.0,0.0,30.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,True
6Oct-1_GT,Egypt,OCGT,Gas,2012.0,2042.0,300.0,1.0,0.0,11.14,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
6Oct-2_GT,Egypt,OCGT,Gas,2012.0,2042.0,300.0,1.0,0.0,11.14,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Abu-Qir_GT,Egypt,OCGT,Diesel,1983.0,2022.0,24.0,1.0,0.0,13.18,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.2,0.0,0.0,True
Ataga-Ext-1_GT,Egypt,OCGT,Gas,2015.0,2045.0,320.0,1.0,0.0,9.78,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Ataga-Ext-2_GT,Egypt,OCGT,Gas,2015.0,2045.0,320.0,1.0,0.0,9.78,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Bany-Ghaleb_GT,Egypt,OCGT,Diesel,2016.0,2046.0,50.0,1.0,0.0,11.73,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Cairo-South_GT,Egypt,OCGT,Gas,1989.0,2022.0,300.0,1.0,0.0,11.14,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
East-Cario_GT,Egypt,OCGT,Diesel,2017.0,2047.0,50.0,1.0,0.0,9.37,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
EL-Basateen_GT,Egypt,OCGT,Diesel,2016.0,2046.0,50.0,1.0,0.0,9.37,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
El-Masaeed_GT,Egypt,OCGT,Diesel,2000.0,2030.0,30.0,1.0,0.0,15.72,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Gerga_GT,Egypt,OCGT,Diesel,2016.0,2046.0,50.0,1.0,0.0,11.73,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Heliopoles_GT,Egypt,OCGT,Diesel,2016.0,2046.0,50.0,1.0,0.0,9.37,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Hurgha-da_GT,Egypt,OCGT,Diesel,1979.0,2023.0,90.0,1.0,0.0,13.18,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Hurgha-da-Ext_GT,Egypt,OCGT,Gas,2017.0,2047.0,288.0,1.0,0.0,9.45,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
New-Assiut_GT,Egypt,OCGT,Diesel,2016.0,2046.0,100.0,1.0,0.0,11.73,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
New-Gas-Damietta_GT,Egypt,OCGT,Gas,2011.0,2041.0,500.0,1.0,0.0,10.47,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
New-Mahmoudeya_GT,Egypt,OCGT,Gas,2016.0,2046.0,336.0,1.0,0.0,11.73,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Port-Said_GT,Egypt,OCGT,HFO,2016.0,2046.0,84.0,1.0,0.0,9.37,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Red-Assiut_GT,Egypt,OCGT,Diesel,2016.0,2046.0,50.0,1.0,0.0,11.73,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Samalout_GT,Egypt,OCGT,Diesel,2016.0,2046.0,50.0,1.0,0.0,11.73,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Shabab_GT,Egypt,OCGT,Gas,1982.0,2022.0,36.0,1.0,0.0,14.46,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Sharm-El-Sheikh_GT,Egypt,OCGT,Diesel,1997.0,2027.0,39.0,1.0,0.0,15.72,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Sharm-El-Sheikh-Ext_GT,Egypt,OCGT,HFO,2015.0,2045.0,288.0,1.0,0.0,9.72,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Shoub_GT,Egypt,OCGT,Gas,1986.0,2022.0,30.0,1.0,0.0,11.14,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Wadi_GT,Egypt,OCGT,Gas,1985.0,2022.0,75.0,1.0,0.0,16.04,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
West-Malawy_GT,Egypt,OCGT,Diesel,2016.0,2046.0,50.0,1.0,0.0,11.73,1.0,1.0,0.0,0.2,25500.0,10.69,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Benban_PV,Egypt,PV,Solar,2019.0,2044.0,1465.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14280.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,True
Kom-Ombo_PV,Egypt,PV,Solar,2019.0,2044.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14280.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,True
Assiut_HY,Egypt,ROR,Water,2017.0,2057.0,32.0,1.0,0.0,9.38,1.0,1.0,0.0,0.4,56100.0,3.76,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Abu-Qir-New-1_ST,Egypt,ST,Gas,2012.0,2042.0,650.0,1.0,0.0,10.22,0.47,0.74,0.0,0.2,11000.0,3.76,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Abu-Qir-New-2_ST,Egypt,ST,Gas,2013.0,2043.0,650.0,1.0,0.0,10.22,0.47,0.74,0.0,0.2,11000.0,3.76,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Ain-Sokhna-1_ST,Egypt,ST,Gas,2015.0,2045.0,650.0,1.0,0.0,10.16,0.47,0.74,0.0,0.2,11000.0,3.76,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Ain-Sokhna-2_ST,Egypt,ST,Gas,2015.0,2045.0,650.0,1.0,0.0,10.16,0.47,0.74,0.0,0.2,11000.0,3.76,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Arish_ST,Egypt,ST,Gas,1996.0,2026.0,66.0,1.0,0.0,8.42,0.47,0.74,0.0,0.2,11000.0,3.76,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Cairo-West-Ext-1_ST,Egypt,ST,Gas,2005.0,2035.0,680.0,1.0,0.0,7.92,0.47,0.74,0.0,0.2,11000.0,1.43,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Cairo-West-Ext-2_ST,Egypt,ST,Gas,2011.0,2041.0,680.0,1.0,0.0,7.92,0.47,0.74,0.0,0.2,11000.0,1.43,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
El-Tibeen_ST,Egypt,ST,Gas,2010.0,2040.0,700.0,1.0,0.0,11.22,0.47,0.74,0.0,0.2,11000.0,3.76,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Kuriemat-1_ST,Egypt,ST,Gas,1997.0,2027.0,627.0,1.0,0.0,8.05,0.47,0.74,0.0,0.2,11000.0,3.76,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Kuriemat-2_ST,Egypt,ST,Gas,1998.0,2028.0,627.0,1.0,0.0,8.05,0.47,0.74,0.0,0.2,11000.0,3.76,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Oyon-Mousa_ST,Egypt,ST,Gas,2001.0,2031.0,640.0,1.0,0.0,8.3,0.47,0.74,0.0,0.2,11000.0,1.43,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Port-Said-East_ST,Egypt,ST,Gas,2003.0,2033.0,683.0,1.0,0.0,0.0,0.47,0.74,0.0,0.2,11000.0,0.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Sidi-Kirir-1-2_ST,Egypt,ST,Gas,2000.0,2030.0,640.0,1.0,0.0,10.68,0.47,0.74,0.0,0.2,11000.0,3.76,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.6,0.0,0.0,True
Sidi-Kirir-3-4_ST,Egypt,ST,Gas,2002.0,2032.0,682.0,1.0,0.0,8.05,0.47,0.74,0.0,0.2,11000.0,3.76,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
South-Helwan-1_ST,Egypt,ST,Gas,2019.0,2049.0,650.0,1.0,0.0,0.0,0.47,0.74,0.0,0.2,11000.0,0.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
South-Helwan-2_ST,Egypt,ST,Gas,2019.0,2049.0,650.0,1.0,0.0,0.0,0.47,0.74,0.0,0.2,11000.0,0.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
South-Helwan-3_ST,Egypt,ST,Gas,2019.0,2049.0,650.0,1.0,0.0,0.0,0.47,0.74,0.0,0.2,11000.0,0.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Suez_ST,Egypt,ST,Gas,2017.0,2047.0,650.0,1.0,0.0,10.22,0.47,0.74,0.0,0.2,11000.0,3.76,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Suez-Gulf_ST,Egypt,ST,Gas,2003.0,2033.0,683.0,1.0,0.0,8.05,0.47,0.74,0.0,0.2,11000.0,3.76,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Talkha_ST,Egypt,ST,Gas,1995.0,2025.0,360.0,1.0,0.0,10.97,0.47,0.74,0.0,0.2,11000.0,3.76,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Walideya_ST,Egypt,ST,HFO,1997.0,2027.0,600.0,1.0,0.0,8.39,0.47,0.74,0.0,0.2,11000.0,3.76,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,True
Aswan-Dam_HY,Egypt,ReservoirHydro,Water,1960.0,2055.0,280.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,56100.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Aswan-Dam-2_HY,Egypt,ReservoirHydro,Water,1986.0,2055.0,270.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,56100.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Esna_HY,Egypt,ROR,Water,1993.0,2055.0,86.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,56100.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
High-Dam_HY,Egypt,ReservoirHydro,Water,1967.0,2055.0,2100.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,56100.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Naga-Hamadi_HY,Egypt,ROR,Water,2008.0,2055.0,64.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,56100.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Gabal-El-Zeit_WI,Egypt,OnshoreWind,Wind,2019.0,2049.0,580.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42840.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,True
Ras-Gharib_WI,Egypt,OnshoreWind,Wind,2019.0,2049.0,250.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42840.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,True
Zafarana_WI,Egypt,OnshoreWind,Wind,2010.0,2040.0,542.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42840.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,1.0,0.0,True
Generic_GCCGT_1,Ethiopia,CCGT,Gas,2027.0,2057.0,,3.0,0.15,6.6,1.0,1.0,0.0,0.2,24000.0,2.6,5.0,1.1,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Generic_GCCGT_2,Ethiopia,CCGT,Gas,2027.0,2057.0,,3.0,0.15,6.6,1.0,1.0,0.0,0.2,24000.0,2.6,5.0,1.1,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Boku Geothermal,Ethiopia,Geothermal,Geothermal,2027.0,2057.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,0.05,75000.0,0.0,5.0,3.0,30.0,100.0,100.0,0.0,,0.0,0.0,0.0,0.0,True
Dofan Geothermal,Ethiopia,Geothermal,Geothermal,2027.0,2057.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,0.05,75000.0,0.0,5.0,3.0,30.0,100.0,100.0,0.0,,0.0,0.0,0.0,0.0,True
Dugna Fango Geothermal,Ethiopia,Geothermal,Geothermal,2027.0,2057.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,0.05,75000.0,0.0,5.0,3.0,30.0,100.0,100.0,0.0,,0.0,0.25,0.0,0.0,True
Fentale Geothermal,Ethiopia,Geothermal,Geothermal,2027.0,2057.0,20.0,3.0,0.0,9.51,1.0,1.0,0.0,0.05,75000.0,8.4,5.0,4.0,30.0,20.0,20.0,0.0,,0.0,0.05,0.0,0.0,True
Generic_Geothermal_1,Ethiopia,Geothermal,Geothermal,2030.0,2060.0,1000.0,3.0,0.0,9.51,1.0,1.0,0.0,0.05,75000.0,8.0,5.0,4.0,30.0,20.0,1000.0,0.0,,0.0,0.0,0.0,0.0,True
Shashemene Geothermal,Ethiopia,Geothermal,Geothermal,2026.0,2056.0,150.0,3.0,0.0,0.0,1.0,1.0,0.0,0.05,75000.0,0.0,5.0,3.0,30.0,150.0,150.0,0.0,,0.0,0.0,0.0,0.0,True
Tendaho-Alalobad Geothermal,Ethiopia,Geothermal,Geothermal,2027.0,2057.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,0.05,75000.0,0.0,5.0,3.0,30.0,100.0,100.0,0.0,,0.0,0.0,0.0,0.0,True
Generic_GasCT_1,Ethiopia,OCGT,Gas,2027.0,2057.0,,3.0,0.0,7.8,1.0,1.0,0.0,0.2,17400.0,3.5,5.0,0.7,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Generic_GasCT_2,Ethiopia,OCGT,Gas,2027.0,2057.0,,3.0,0.0,7.8,1.0,1.0,0.0,0.2,17400.0,3.5,5.0,0.7,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Generic_LFO_1,Ethiopia,ICE,Diesel,2027.0,2057.0,10000.0,3.0,0.0,8.2,1.0,1.0,0.0,0.2,60000.0,6.0,5.0,1.6,30.0,1000.0,10000.0,0.0,,0.0,0.0,0.0,0.0,True
Generic_LFO_2,Ethiopia,ICE,Diesel,2027.0,2057.0,10000.0,3.0,0.0,8.2,1.0,1.0,0.0,0.2,60000.0,6.0,5.0,1.6,30.0,1000.0,10000.0,0.0,,0.0,0.1,0.0,0.0,True
Gad-II solar,Ethiopia,PV,Solar,2024.0,2049.0,125.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,15000.0,0.0,0.0,0.8,25.0,125.0,125.0,0.0,,0.0,0.05,1.0,0.0,True
Generic_Solar_1,Ethiopia,PV,Solar,2027.0,2052.0,16491.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,21000.0,0.0,0.0,0.8,25.0,329.82,16491.0,0.0,,0.0,0.0,1.0,0.0,True
Adigala,Ethiopia,OnshoreWind,Wind,2024.0,2054.0,150.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,30000.0,0.0,0.0,1.3,30.0,150.0,150.0,0.0,,0.0,0.0,1.0,0.0,True
Aleltu East HEP,Ethiopia,ReservoirHydro,Water,2035.0,2085.0,189.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,4.02,50.0,189.0,189.0,0.0,,0.0,0.0,0.0,0.0,True
Aleltu West HEP,Ethiopia,ReservoirHydro,Water,2035.0,2085.0,265.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,4.45,50.0,265.0,265.0,0.0,,0.0,0.0,0.0,0.0,True
Assosa Bambasi,Ethiopia,ReservoirHydro,Water,2024.0,2074.0,150.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,50000.0,0.5,5.0,3.3,50.0,150.0,150.0,0.0,,0.0,0.0,0.0,0.0,True
Ayisha-IA,Ethiopia,OnshoreWind,Wind,2024.0,2054.0,150.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,30000.0,0.0,0.0,1.77,30.0,150.0,150.0,0.0,,0.0,0.0,1.0,0.0,True
Ayisha-IB,Ethiopia,OnshoreWind,Wind,2024.0,2054.0,150.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,30000.0,0.0,0.0,1.77,30.0,150.0,150.0,0.0,,0.0,0.05,1.0,0.0,True
Ayisha-III A,Ethiopia,OnshoreWind,Wind,2024.0,2054.0,150.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,30000.0,0.0,0.0,1.77,30.0,150.0,150.0,0.0,,0.0,0.05,1.0,0.0,True
Ayisha-IIIB,Ethiopia,OnshoreWind,Wind,2024.0,2054.0,150.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,30000.0,0.0,0.0,1.77,30.0,150.0,150.0,0.0,,0.0,0.0,1.0,0.0,True
Baro 1,Ethiopia,ReservoirHydro,Water,2035.0,2085.0,166.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,6.6,50.0,166.0,166.0,0.0,,0.0,0.0,0.0,0.0,True
